District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Simulation and mock drill,,,households,200,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,,2-3 sessions,,Completed,households,200,208,8,26002,26002-8
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,201,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,131,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Ongoing,households,200,150,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,146,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,200,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,151,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,200,5,26002,26002-5
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Ongoing,households,200,166,8,26002,26002-8
Bhaktapur,Changunarayan,3,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,200,3,26002,26002-3
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Ongoing,households,200,200,8,26002,26002-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Planned,households,200,,8,26004,26004-8
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,137,4,26002,26002-4
Bhaktapur,Changunarayan,7,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,242,7,26002,26002-7
Bhaktapur,Suryabinayak,4,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,232,4,26004,26004-4
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,214,4,26002,26002-4
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,150,4,26002,26002-4
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,175,6,26002,26002-6
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Ongoing,households,200,200,6,26002,26002-6
Bhaktapur,Suryabinayak,7,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,473,7,26004,26004-7
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Ongoing,households,200,175,6,26002,26002-6
Bhaktapur,Changunarayan,2,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,200,155,2,26002,26002-2
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,289,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,353,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Ongoing,households,200,223,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,282,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Ongoing,households,200,182,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,282,9,26002,26002-9
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Planned,households,200,266,5,26002,26002-5
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Planned,households,200,120,8,26002,26002-8
Bhaktapur,Changunarayan,3,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,295,3,26002,26002-3
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,200,8,26002,26002-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Ongoing,households,200,100,8,26004,26004-8
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,168,4,26002,26002-4
Bhaktapur,Changunarayan,7,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,300,7,26002,26002-7
Bhaktapur,Suryabinayak,4,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,261,4,26004,26004-4
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,200,4,26002,26002-4
Bhaktapur,Changunarayan,7,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,300,7,26002,26002-7
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,260,4,26002,26002-4
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,300,6,26002,26002-6
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,300,6,26002,26002-6
Bhaktapur,Suryabinayak,7,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,208,7,26004,26004-7
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,300,6,26002,26002-6
Bhaktapur,Changunarayan,2,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Completed,households,200,261,2,26002,26002-2
Bhaktapur,Suryabinayak,7,NRCS,Earthquake Response Operation,,NRCS,Health,Support - Mental Health/Psychosocial Counseling,,PSS rollout by trained volunteers,,Completed,households,200,200,7,26004,26004-7
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Sanitation in Schools education ( SLTS ),aware/orient school children and people around about the importance of hygiene and sanitation to live a healthy life.,,ongoing ,households,200,346,9,26002,26002-9
Bhaktapur,Suryabinayak,4,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Sanitation in Schools education ( SLTS ),School Sanitation Campaign,,Ongoing,households,200,108,4,26004,26004-4
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,"Pre-construction,post-construction management training/ orientation/ water quality test training etc",,Ongoing,households,165,16,5,26002,26002-5
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Public awareness on safe and resilient shelter construction,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Pikhel WSS,Water supply scheme construction,,,households,150,,5,26002,26002-5
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Disaster simulation,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Conduction of VCA to develop SBDRMP ,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Search and Rescue,,development of evacuation plan at school level,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Stock piling of LSAR and first-aid kit at schools,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Operationalization of SBDRMP through small scale mitigations,,,households,150,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Establishment of school based DRR fund,,,households,150,,8,26002,26002-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Planned,households,150,,8,26004,26004-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Planned,households,150,,8,26004,26004-8
Bhaktapur,Changunarayan,7,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,,Support for livelihood activity,,Completed,households,150,133,7,26002,26002-7
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Ongoing,households,150,70,8,26004,26004-8
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Support - Temporary employment services in each district,,Debris clerance by CFW,,Completed,households,130,85,5,26002,26002-5
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Wall paintings at school,,,households,120,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Establishment of DRR and climate change learning centre,,,households,120,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,,households,100,,8,26002,26002-8
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,,households,100,,5,26002,26002-5
Bhaktapur,Changunarayan,4,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,,households,100,,4,26002,26002-4
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,Construction and material support to construct HHs toilet,,,households,100,,8,26002,26002-8
Bhaktapur,Changunarayan,4,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,Construction and material support to construct HHs toilet,,,households,100,,4,26002,26002-4
Bhaktapur,Changunarayan,4,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,,households,100,,4,26002,26002-4
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Mobilization of youth volunteers for IEC,,,households,100,,8,26002,26002-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,"Technical support and training on Agriculture , livestock and small business ",,Ongoing,households,100,100,8,26004,26004-8
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,"Pre-construction,post-construction management training/ orientation/ water quality test training etc",,Ongoing,households,90,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,,business skill training,Other (specify in Comments),,households,80,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,,livelihood grant for earthquake affected people through local financial institutions,,,households,80,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Employment and Livelihood,Capacity building - Skill development trainings,,Sectoral Agriculture and Livestock Training,,,households,80,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Joint orientation on HVCA and SBDRMP,,,households,60,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Simachaur WSS,Construct/Repair waterschemes,,,households,55,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,,households,50,,8,26002,26002-8
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,,households,50,,5,26002,26002-5
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,,households,50,,5,26002,26002-5
Bhaktapur,Changunarayan,4,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,,households,50,,4,26002,26002-4
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Extra curricular on DRR at schools,,,households,50,,8,26002,26002-8
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,,livelihood grant for earthquake affected people through local financial institutions,,,households,50,,5,26002,26002-5
Bhaktapur,Suryabinayak,4,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,"Pre-construction,post-construction management training/ orientation/ water quality test training etc",,Completed,households,45,14,4,26004,26004-4
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,vocational training to youth,,Completed,households,40,40,9,26002,26002-9
Bhaktapur,Suryabinayak,4,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Support - Temporary employment services in each district,,Debris clerance by CFW,,Completed,households,40,167,4,26004,26004-4
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Skill development trainings,,vocational training to youth,,Completed,households,36,36,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,,Finance development training for cooperatives,,Completed,households,31,21,9,26002,26002-9
Bhaktapur,Madhyapur Thimi,6,ISAP,,,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,households,30,30,6,26003,26003-6
Bhaktapur,Changunarayan,9,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,20,9,26002,26002-9
Bhaktapur,Changunarayan,7,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,35,7,26002,26002-7
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,46,6,26002,26002-6
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,34,6,26002,26002-6
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,72,6,26002,26002-6
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,43,6,26002,26002-6
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,households,30,36,6,26002,26002-6
Bhaktapur,Changunarayan,5,GON,,,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,households,30,30,5,26002,26002-5
Bhaktapur,Changunarayan,5,GON,,,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,households,30,30,5,26002,26002-5
Bhaktapur,Changunarayan,5,GON,,GON - DLPIU,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,households,30,30,5,26002,26002-5
Bhaktapur,Changunarayan,5,GON,,GON - DLPIU,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,households,30,30,5,26002,26002-5
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Orientation to communities on HVCA,,,households,30,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Orientation on LDRMP to communities,,,households,30,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,"Orientation to SMc and teachers, child club",,,households,30,,8,26002,26002-8
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,NRCS,BRC,Health,Support - Mental Health/Psychosocial Counseling,,"PSS workshop, this workshop will be done for 4 event to complete own workshop",,Completed,households,30,34,8,26002,26002-8
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,NRCS,BRC,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,community waressess,community awareness,,Completed,households,30,180,6,26002,26002-6
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,NRCS,BRC,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,,Enterprise development training for cooperatives,,Completed,households,28,40,5,26002,26002-5
Bhaktapur,Changunarayan,7,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)","Tathali, Chagunarayan",,Completed,households,22,22,7,26002,26002-7
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Training on firstaid at school level,,,households,20,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,Capacity building - Search and Rescue,,Training on LSAR at school level,,,households,20,,8,26002,26002-8
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 day mason training,DUDBC,Completed,households,20,20,8,26002,26002-8
Bhaktapur,Changunarayan,5,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Employment and Livelihood,Capacity building - Skill development trainings,,Sectoral Agriculture and Livestock Training,,,households,20,,5,26002,26002-5
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",FSCN,DCA,Disaster Risk Management,Capacity building - Local institutions for DRM,,Networking with stakeholders,,,households,20,,8,26002,26002-8
Bhaktapur,Suryabinayak,8,NRCS,Earthquake Response Operation,NRCS,BRC,Rural Housing and Community Infrastructure,Capacity building - Short training for carpenter,,carpentry training ,,Completed,households,20,20,8,26004,26004-8
Bhaktapur,Changunarayan,7,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)","Tathali, Bageshwori",,Completed,households,18,18,7,26002,26002-7
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,NRCS,BRC,Health,"Capacity building - MCM, Triage, Referral System, MISP, ASRH in emergencies, First Aid services",,,,Completed,households,16,41,9,26002,26002-9
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,NRCS,BRC,Health,Support - Distribution of basic first aid Kits,,Distribution of First Aid Kits,,Completed,households,16,31,4,26002,26002-4
Bhaktapur,Suryabinayak,1,NRCS,Earthquake Response Operation,NRCS,BRC,Health,Support - Mental Health/Psychosocial Counseling,,PSS training for NRCS volunteer,,Planned,households,16,17,1,26004,26004-1
Bhaktapur,Changunarayan,9,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,9,9,26002,26002-9
Bhaktapur,Changunarayan,9,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,16,9,26002,26002-9
Bhaktapur,Changunarayan,8,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,16,8,26002,26002-8
Bhaktapur,Changunarayan,8,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,14,8,26002,26002-8
Bhaktapur,Changunarayan,8,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,16,8,26002,26002-8
Bhaktapur,Changunarayan,7,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Continuous,Mobilise a team of 5 for 5 days,,Completed,households,15,21,7,26002,26002-7
